,Year of car manufacture,Width,Color,kilometer driven,Transmission type,price,Body type,Length,Brand Name,Fuel type,city,Seats,Car model,Number of previous owners,Insurance Validity_value,Engine Displacement_value(cc)
690,2019,1745mm,Others,20000,Manual,725000.0,Hatchback,3995mm,Maruti,Petrol,chennai,5.0,Maruti Baleno,1,Third Party insurance,1197
691,2018,1745mm,Grey,32000,Automatic,725000.0,Hatchback,3995mm,Maruti,Petrol,chennai,5.0,Maruti Baleno,1,Comprehensive,1197
692,2019,1734mm,Others,40000,Manual,750000.0,Hatchback,3985mm,Hyundai,Diesel,chennai,5.0,Hyundai i20,1,Third Party insurance,1396
693,2020,1695,Lunar Silver Metallic,29911,Manual,950000.0,Sedan,4440,Honda,Petrol,chennai,5.0,Honda City,1,Comprehensive,1497
694,2018,1729mm,Grey,23000,Automatic,925000.0,Sedan,4440mm,Hyundai,Petrol,chennai,5.0,Hyundai Verna,1,Comprehensive,1591
695,2018,1706mm,Others,100000,Manual,525000.0,Sedan,3995mm,Tata,Diesel,chennai,5.0,Tata Zest,2,Third Party insurance,1248
696,2016,1830mm,Silver,42000,Manual,1875000.0,MUV,4735mm,Toyota,Diesel,chennai,7.0,Toyota Innova Crysta,1,Comprehensive,2393
697,2016,2020mm,White,58000,Automatic,2650000.0,Sedan,4686mm,Mercedes-Benz,Diesel,chennai,5.0,Mercedes-Benz C-Class,1,Comprehensive,2143
698,2015,1735mm,Grey,53764,Manual,550000.0,Hatchback,3840mm,Maruti,Diesel,chennai,5.0,Maruti Swift,1,Comprehensive,1248
699,2015,1660mm,Silver,61455,Manual,500000.0,Hatchback,3765mm,Hyundai,Petrol,chennai,5.0,Hyundai Grand i10,1,Third Party insurance,1197
700,2018,1818mm,Silver,52732,Automatic,1209000.0,SUV,4395mm,Jeep,Petrol,chennai,5.0,Jeep Compass,2,Zero Dep,1368
701,2017,1694mm,Red,61159,Automatic,656000.0,Hatchback,3955mm,Honda,Petrol,chennai,5.0,Honda Jazz,2,Comprehensive,1199
702,2010,1710 mm,Others,90000,Manual,295000.0,Hatchback,3940 mm,Hyundai,Petrol,chennai,5.0,Hyundai i20,2,Third Party insurance,1197
703,2015,1680mm,Brown,95296,Manual,430999.99999999994,Sedan,3990mm,Honda,Petrol,chennai,5.0,Honda Amaze,1,Comprehensive,1198
704,2018,1780mm,Black,106506,Manual,894999.9999999999,SUV,4270mm,Hyundai,Petrol,chennai,5.0,Hyundai Creta,1,Comprehensive,1591
705,2012,1846mm,Others,70000,Automatic,1500000.0,Sedan,4841mm,BMW,Diesel,chennai,5.0,BMW 5 Series,2,Third Party insurance,1995
706,2015,1660mm,Red,108551,Manual,392000.0,Hatchback,3765mm,Hyundai,Petrol,chennai,5.0,Hyundai Grand i10,2,Comprehensive,1197
707,2014,1680mm,Red,54186,Manual,470000.0,Sedan,3990mm,Honda,Diesel,chennai,5.0,Honda Amaze,1,Comprehensive,1498
708,2018,1695mm,White,106848,Automatic,726000.0,Sedan,3995mm,Honda,Petrol,chennai,5.0,Honda Amaze,1,Comprehensive,1199
709,2020,1699mm,Brown,38464,Automatic,1023000.0,Sedan,4390mm,Volkswagen,Petrol,chennai,5.0,Volkswagen Vento,2,Third Party,999
710,2017,1690,Grey,59841,Manual,500000.0,Hatchback,3700mm,Maruti,Petrol,chennai,5.0,Maruti Ignis,1,Third Party insurance,1197
711,2023,1855mm,White,3000,Automatic,4550000.0,SUV,4795mm,Toyota,Diesel,chennai,7.0,Toyota Fortuner,1,Comprehensive,2755
712,2020,1790mm,Silver,19649,Automatic,1590000.0,SUV,4300mm,Hyundai,Petrol,chennai,5.0,Hyundai Creta,1,Third Party insurance,1497
713,2021,1827,Black,3300,Automatic,5600000.0,Sedan,4819,BMW,Diesel,chennai,5.0,BMW 3 Series Gran Limousine,1,Comprehensive,1995
